temperature_C,humidity_%,soil_moisture_%,rainfall_mm,solar_radiation_Wm2,wind_speed_kmh,soil_pH,soil_type,crop_type,growth_stage,field_area_ha,days_since_rain,season,water_amount_liters
44.6,79.3,49.9,16.2,144.2,17.8,7.01,Sandy,Wheat,Maturity,5.72,3,Summer,1522.3
38.2,42.7,40.5,23.2,287.4,12.6,8.4,Loam,Rice,Flowering,1.17,14,Summer,776.6
21.0,67.4,39.0,20.8,500.3,4.6,5.77,Sandy,Soybean,Maturity,1.21,3,Winter,50.0
15.2,61.6,61.3,7.5,775.3,14.1,6.93,Sandy,Maize,Germination,5.83,12,Summer,1154.4
39.5,62.2,58.0,47.9,712.9,20.7,5.69,Clay,Maize,Vegetative,9.24,8,Summer,2000.0
36.2,67.8,68.3,20.2,713.2,24.0,7.39,Clay,Cotton,Germination,9.19,14,Winter,563.9
36.9,60.3,27.5,43.8,223.2,14.8,5.74,Loam,Rice,Flowering,0.6,11,Autumn,50.0
38.1,50.0,52.7,9.5,285.4,5.0,6.03,Clay,Soybean,Flowering,1.52,8,Spring,428.5
17.2,39.3,51.0,27.4,153.5,12.4,6.28,Sandy,Rice,Maturity,6.04,2,Winter,615.2
25.8,73.8,35.9,1.2,644.9,23.6,7.75,Clay,Cotton,Vegetative,8.56,10,Summer,2000.0
18.5,35.8,44.0,38.2,148.9,12.4,5.99,Loam,Cotton,Germination,9.57,14,Summer,1315.2
40.9,68.5,32.0,29.0,489.7,20.9,8.04,Sandy,Rice,Flowering,8.68,8,Autumn,2000.0
33.7,36.3,19.9,31.3,273.5,15.2,5.9,Loam,Rice,Flowering,6.94,4,Winter,1608.9
24.9,63.8,25.0,2.6,270.4,7.2,5.61,Silt,Rice,Germination,2.4,10,Winter,180.9
16.9,72.3,17.4,10.6,793.5,23.9,6.69,Clay,Wheat,Flowering,1.19,5,Summer,50.0
24.3,35.3,57.8,3.7,629.7,2.5,8.44,Sandy,Cotton,Germination,0.95,14,Winter,50.0
24.8,24.2,56.3,14.4,685.9,15.7,5.83,Loam,Maize,Vegetative,6.31,6,Summer,2000.0
36.9,29.2,76.5,31.4,500.4,6.3,5.81,Clay,Wheat,Maturity,0.84,2,Summer,50.0
34.1,62.4,61.1,28.3,709.7,2.0,7.75,Clay,Soybean,Germination,7.52,13,Summer,1039.7
41.6,79.5,13.6,30.6,551.8,15.1,6.44,Loam,Maize,Vegetative,7.27,3,Spring,1826.5
29.2,23.1,71.9,27.5,762.3,15.0,7.65,Sandy,Maize,Germination,1.26,4,Summer,50.0
18.6,71.4,70.4,13.7,296.9,21.2,6.1,Loam,Maize,Flowering,9.11,0,Autumn,1919.7
36.4,43.9,41.0,12.2,516.7,22.3,6.88,Clay,Cotton,Vegetative,5.46,7,Winter,491.3
37.8,53.5,51.0,6.9,583.1,21.8,6.3,Loam,Soybean,Germination,9.09,10,Spring,1377.6
31.8,85.0,78.3,42.5,375.1,12.3,6.85,Silt,Wheat,Vegetative,9.07,6,Winter,631.1
38.1,43.2,47.3,30.8,715.8,19.0,7.81,Clay,Soybean,Germination,2.37,12,Autumn,201.9
29.8,52.6,73.4,9.3,785.9,17.3,7.79,Sandy,Wheat,Germination,4.12,10,Spring,569.4
30.7,21.0,15.8,8.9,445.6,12.6,7.05,Silt,Cotton,Vegetative,1.78,11,Winter,259.1
27.8,25.7,23.4,43.7,373.4,17.9,8.29,Loam,Soybean,Vegetative,7.86,12,Spring,1647.2
15.8,38.1,40.9,37.1,430.4,28.4,6.29,Sandy,Maize,Vegetative,5.29,1,Summer,1324.7
18.2,21.9,50.9,33.0,696.9,5.8,6.22,Silt,Soybean,Flowering,9.32,6,Summer,2000.0
15.9,64.2,67.1,20.3,551.8,27.2,7.34,Loam,Cotton,Maturity,2.48,11,Winter,50.0
34.1,49.8,79.2,13.1,131.3,1.6,7.36,Silt,Cotton,Germination,7.04,8,Autumn,604.7
24.4,58.4,37.2,49.0,479.5,9.3,5.64,Clay,Cotton,Germination,9.9,4,Spring,819.5
30.3,32.2,13.3,39.9,112.1,8.6,7.32,Sandy,Wheat,Vegetative,6.82,13,Spring,1575.5
42.2,40.7,66.1,15.1,645.0,18.8,6.62,Silt,Soybean,Germination,1.15,10,Winter,59.5
22.5,66.5,52.3,42.4,329.8,3.9,7.74,Clay,Maize,Maturity,6.09,5,Summer,760.0
27.3,87.6,23.9,37.9,430.4,26.5,7.92,Loam,Maize,Maturity,2.21,4,Spring,80.0
37.7,23.5,44.6,14.9,659.1,24.9,7.16,Clay,Rice,Germination,0.79,0,Summer,350.2
21.9,82.3,62.0,21.3,132.5,19.6,5.51,Loam,Cotton,Germination,3.68,5,Summer,204.5
17.3,60.4,63.9,9.3,211.0,13.8,7.41,Sandy,Maize,Vegetative,3.03,13,Autumn,341.8
23.7,59.5,45.0,5.6,378.6,28.0,7.75,Clay,Cotton,Maturity,7.99,13,Summer,1432.5
19.8,55.0,31.4,36.1,260.9,24.9,6.25,Clay,Maize,Germination,4.05,6,Summer,363.3
42.9,24.9,78.2,13.4,336.5,15.0,6.89,Loam,Soybean,Maturity,7.46,4,Spring,1365.0
39.2,26.3,56.4,41.0,798.7,21.1,8.4,Silt,Rice,Germination,0.65,2,Autumn,50.0
34.0,62.1,38.6,49.8,677.8,17.0,6.39,Loam,Cotton,Flowering,0.64,14,Autumn,50.0
41.1,43.9,29.6,3.8,718.7,17.6,6.17,Silt,Wheat,Maturity,0.78,5,Winter,107.5
39.1,84.2,61.2,23.7,755.9,9.9,6.13,Loam,Wheat,Flowering,2.58,11,Winter,264.9
20.6,48.5,27.0,40.1,338.7,13.9,7.18,Sandy,Maize,Vegetative,4.05,11,Winter,361.4
41.8,30.0,22.0,39.4,308.0,2.3,8.35,Silt,Soybean,Maturity,6.27,10,Autumn,822.1
31.2,70.0,47.1,38.0,263.8,10.7,7.33,Clay,Cotton,Germination,9.87,6,Summer,1116.4
39.2,40.5,30.3,17.4,681.1,20.9,6.41,Silt,Rice,Germination,3.87,9,Autumn,711.0
41.9,56.8,54.0,22.7,575.7,28.6,7.42,Loam,Soybean,Flowering,1.03,9,Summer,371.0
24.5,68.8,18.3,29.7,265.3,28.9,7.37,Loam,Maize,Maturity,2.35,11,Winter,85.4
18.3,83.0,55.8,48.7,363.9,16.7,7.29,Silt,Soybean,Maturity,9.03,13,Winter,499.7
21.8,75.5,29.8,16.4,454.7,18.2,5.98,Clay,Rice,Maturity,7.14,8,Summer,1873.1
27.8,67.3,10.0,46.2,469.7,5.6,7.4,Sandy,Soybean,Vegetative,8.01,12,Summer,2000.0
39.5,67.6,18.9,13.5,722.1,20.9,6.79,Clay,Cotton,Maturity,1.68,6,Winter,115.1
40.8,86.2,75.4,49.5,366.4,2.1,5.56,Silt,Maize,Vegetative,1.78,2,Summer,50.0
15.2,40.7,70.7,33.5,736.0,8.5,7.12,Loam,Rice,Germination,1.57,0,Autumn,50.0
30.3,20.1,26.4,23.2,409.0,20.1,8.47,Clay,Maize,Flowering,8.64,14,Winter,1246.5
27.5,39.0,64.5,30.7,622.5,9.3,6.55,Loam,Cotton,Flowering,2.49,13,Autumn,249.8
21.7,35.3,52.6,13.6,751.2,1.5,8.4,Loam,Rice,Maturity,6.61,12,Winter,825.1
18.6,66.3,78.0,13.7,735.3,25.0,5.79,Clay,Rice,Flowering,5.4,6,Spring,1290.0
25.1,64.4,36.2,5.7,139.9,9.3,7.7,Silt,Maize,Maturity,5.67,11,Autumn,724.3
43.3,61.5,57.7,5.7,244.0,1.9,5.84,Clay,Soybean,Germination,2.36,7,Spring,325.0
24.7,21.1,14.4,17.4,433.8,2.2,6.32,Sandy,Soybean,Germination,6.53,14,Winter,651.5
30.6,71.0,37.7,38.1,402.1,7.6,7.21,Loam,Wheat,Germination,0.91,10,Autumn,50.0
36.1,42.6,77.5,30.4,548.6,5.3,7.28,Loam,Wheat,Flowering,9.94,0,Autumn,1871.0
25.9,66.6,47.7,5.1,761.3,23.2,7.83,Silt,Rice,Maturity,0.75,4,Autumn,50.0
44.2,59.0,30.2,42.6,178.7,9.7,7.35,Loam,Maize,Vegetative,0.98,11,Summer,167.2
43.9,44.0,18.4,30.1,416.3,24.1,7.28,Loam,Rice,Germination,3.58,11,Autumn,723.0
22.6,29.4,59.2,48.0,234.7,5.2,8.24,Loam,Maize,Germination,8.4,12,Autumn,722.7
29.9,26.6,55.1,33.5,725.9,14.8,6.86,Clay,Cotton,Vegetative,2.94,7,Spring,362.6
24.0,78.2,36.2,8.8,775.2,20.6,6.18,Loam,Wheat,Vegetative,4.98,9,Autumn,690.3
23.5,84.3,76.6,23.7,435.1,19.6,5.99,Clay,Rice,Flowering,0.67,6,Summer,50.0
16.1,65.5,11.6,32.4,172.8,18.0,6.7,Silt,Cotton,Germination,1.25,14,Autumn,50.0
33.3,27.2,31.3,1.4,649.7,27.7,7.64,Sandy,Soybean,Flowering,6.28,1,Spring,2000.0
30.1,48.1,74.5,0.7,588.0,6.9,5.63,Loam,Wheat,Germination,2.35,12,Autumn,125.0
16.5,71.0,32.5,6.5,348.3,14.8,5.89,Sandy,Maize,Flowering,7.1,12,Autumn,2000.0
23.4,74.6,27.7,12.6,721.2,26.5,5.82,Clay,Soybean,Flowering,7.96,12,Spring,1965.1
42.2,28.3,47.4,21.5,783.1,2.3,7.26,Silt,Soybean,Vegetative,8.58,3,Winter,966.7
22.2,20.0,67.7,24.4,490.5,1.7,6.23,Silt,Cotton,Maturity,1.77,5,Autumn,50.0
19.3,69.8,17.2,6.9,496.0,7.0,6.0,Clay,Rice,Maturity,4.83,6,Winter,433.5
29.7,45.0,76.0,33.7,308.3,19.0,7.28,Sandy,Rice,Maturity,9.5,13,Spring,2000.0
44.6,37.8,65.7,29.8,509.2,7.8,7.78,Loam,Cotton,Germination,7.83,6,Spring,1033.4
22.3,20.9,22.7,14.7,407.7,5.7,6.5,Clay,Soybean,Vegetative,1.61,2,Winter,116.7
35.2,57.8,59.8,0.7,311.5,13.8,7.23,Clay,Wheat,Vegetative,5.27,11,Summer,1160.1
37.8,79.6,36.9,3.9,147.0,18.4,5.79,Clay,Soybean,Vegetative,9.26,7,Summer,2000.0
22.1,87.0,38.2,19.6,276.9,7.5,8.31,Clay,Cotton,Germination,4.68,6,Spring,258.9
36.8,59.6,64.8,7.7,238.5,9.0,6.51,Clay,Soybean,Flowering,8.46,3,Summer,2000.0
26.0,56.0,77.4,18.8,479.4,18.4,8.49,Silt,Soybean,Flowering,5.21,9,Summer,1452.8
34.0,26.0,18.9,31.4,521.2,28.4,8.44,Clay,Soybean,Maturity,1.51,12,Spring,309.0
34.0,58.4,39.4,27.4,526.0,20.2,7.84,Silt,Soybean,Maturity,1.9,3,Autumn,135.1
31.1,46.6,43.7,11.6,371.7,23.5,5.56,Sandy,Wheat,Germination,0.94,3,Autumn,64.0
17.7,62.5,36.3,17.2,394.9,11.0,7.13,Loam,Maize,Germination,2.36,4,Autumn,123.9
40.1,47.2,35.4,30.7,684.0,8.2,5.76,Silt,Maize,Maturity,8.99,13,Summer,2000.0
24.6,36.8,13.7,43.0,433.4,13.6,8.19,Loam,Rice,Flowering,6.68,10,Winter,1318.7
20.6,26.6,58.0,37.7,791.4,24.2,7.87,Loam,Maize,Flowering,7.52,1,Summer,2000.0
16.2,42.0,40.5,27.7,407.7,13.7,8.42,Loam,Maize,Vegetative,6.41,8,Autumn,924.6
32.7,26.8,23.6,18.1,554.7,25.4,7.33,Silt,Maize,Maturity,4.17,5,Spring,836.7
35.3,32.4,67.1,18.3,135.3,29.7,7.07,Silt,Soybean,Maturity,2.56,11,Spring,338.3
15.5,89.1,66.2,44.0,557.3,2.2,7.06,Silt,Soybean,Flowering,9.29,7,Spring,1637.4
30.4,51.1,44.0,2.0,696.0,1.4,6.66,Sandy,Wheat,Vegetative,5.39,10,Summer,2000.0
21.8,57.2,30.9,49.4,759.7,4.5,6.91,Silt,Soybean,Maturity,5.07,0,Winter,246.4
34.4,81.2,54.7,33.2,798.1,11.5,7.41,Sandy,Soybean,Flowering,9.96,14,Autumn,2000.0
20.2,89.7,30.2,34.1,297.5,3.9,8.3,Silt,Maize,Flowering,4.15,5,Spring,557.7
35.7,60.8,26.5,1.9,502.8,26.1,7.29,Silt,Wheat,Flowering,8.61,14,Autumn,1898.8
26.6,76.9,61.1,30.3,415.5,0.7,8.07,Loam,Wheat,Vegetative,8.69,5,Autumn,1019.7
43.1,42.9,12.8,24.2,494.7,9.5,8.09,Clay,Maize,Vegetative,2.71,7,Summer,1006.8
19.1,41.4,16.6,5.3,210.2,5.5,7.06,Loam,Maize,Flowering,1.4,12,Spring,358.3
25.2,48.2,10.5,13.9,699.3,27.9,6.54,Silt,Wheat,Vegetative,9.77,0,Summer,2000.0
18.4,67.1,20.7,44.5,736.7,20.1,7.42,Clay,Cotton,Vegetative,4.55,4,Autumn,259.9
42.7,67.8,14.8,27.5,414.8,27.4,6.84,Clay,Maize,Vegetative,0.52,14,Autumn,122.8
41.3,42.1,79.7,20.7,296.3,29.2,5.74,Sandy,Maize,Vegetative,5.24,13,Autumn,1240.8
22.7,29.3,30.2,3.6,198.6,14.9,6.63,Clay,Wheat,Germination,6.38,13,Spring,539.0
34.8,64.3,20.4,35.7,578.6,7.0,8.48,Sandy,Cotton,Maturity,7.87,13,Spring,1678.5
39.5,29.0,26.9,35.1,318.6,5.8,5.65,Loam,Cotton,Maturity,9.46,2,Spring,1633.9
31.7,60.5,75.5,30.7,736.7,6.7,7.59,Sandy,Rice,Vegetative,9.19,5,Autumn,2000.0
30.9,68.5,46.4,25.5,569.7,21.3,8.02,Silt,Cotton,Flowering,9.43,8,Autumn,1826.3
22.3,69.0,35.5,21.7,552.0,1.2,7.45,Clay,Maize,Maturity,0.81,9,Winter,50.0
17.8,72.7,71.1,29.7,491.6,1.5,7.21,Silt,Soybean,Vegetative,7.26,2,Spring,895.9
41.9,81.1,37.6,11.7,132.0,18.2,7.62,Clay,Wheat,Maturity,2.65,8,Autumn,254.7
42.0,55.0,33.5,47.1,752.3,19.3,6.79,Clay,Maize,Flowering,2.28,11,Autumn,405.1
34.0,71.1,24.5,29.4,539.6,20.0,5.77,Loam,Wheat,Vegetative,8.1,8,Winter,757.8
25.2,63.3,36.4,15.6,795.8,11.2,8.39,Sandy,Cotton,Flowering,4.46,14,Winter,774.5
25.5,33.1,32.2,22.5,476.1,24.2,6.8,Loam,Wheat,Maturity,9.21,0,Autumn,1054.2
36.8,21.8,57.4,40.3,597.1,16.0,7.5,Sandy,Maize,Germination,0.9,1,Spring,50.0
41.9,39.9,30.3,8.1,139.3,3.2,7.09,Loam,Soybean,Flowering,8.12,10,Summer,2000.0
41.6,51.0,50.4,14.6,542.2,23.9,5.66,Loam,Maize,Vegetative,1.8,3,Summer,716.3
38.4,63.2,14.6,34.0,635.3,28.6,8.36,Clay,Rice,Vegetative,2.18,13,Summer,877.6
34.3,79.5,23.4,15.8,645.0,1.8,7.88,Loam,Wheat,Flowering,5.03,10,Spring,1377.9
17.5,33.7,38.5,39.6,639.1,11.7,5.95,Loam,Maize,Germination,4.26,10,Autumn,317.1
19.8,28.8,75.6,6.5,258.4,14.6,8.44,Sandy,Cotton,Maturity,5.12,11,Summer,1200.4
42.0,87.4,36.4,38.1,782.8,4.4,7.71,Loam,Cotton,Maturity,9.43,6,Summer,2000.0
33.2,27.6,56.5,3.4,796.6,26.0,6.92,Clay,Maize,Maturity,6.75,11,Spring,1198.0
15.3,53.5,27.9,0.6,152.9,8.5,7.33,Loam,Rice,Maturity,3.26,1,Autumn,504.5
18.0,61.0,18.9,44.9,755.5,23.5,5.82,Silt,Wheat,Maturity,2.14,6,Autumn,50.0
34.9,57.9,14.1,29.1,302.6,20.1,7.18,Silt,Rice,Vegetative,4.49,4,Spring,1306.7
15.2,26.0,31.4,17.6,582.5,17.9,5.72,Sandy,Soybean,Vegetative,4.79,9,Summer,1636.6
19.8,24.0,21.0,11.6,336.7,5.8,7.13,Sandy,Maize,Flowering,6.21,14,Autumn,2000.0
31.5,27.4,22.2,30.8,777.4,6.6,7.16,Silt,Rice,Flowering,3.03,6,Autumn,1062.6
35.8,61.0,63.3,25.5,171.1,1.4,8.12,Loam,Soybean,Maturity,7.79,13,Summer,1713.4
34.6,58.1,11.1,49.6,448.4,7.2,7.68,Loam,Rice,Maturity,1.44,11,Spring,138.5
21.7,36.4,49.0,49.2,399.6,10.4,6.25,Sandy,Soybean,Maturity,5.82,8,Summer,1144.3
36.4,64.6,36.6,31.8,328.2,25.0,8.17,Clay,Cotton,Germination,6.42,8,Winter,283.5
22.1,77.4,45.5,22.1,551.9,11.0,7.22,Loam,Cotton,Flowering,2.46,2,Autumn,105.2
24.8,22.9,49.4,24.6,191.7,22.6,7.32,Silt,Maize,Vegetative,8.35,2,Spring,1653.4
37.4,54.9,31.9,34.1,601.7,13.2,6.01,Clay,Rice,Maturity,6.35,12,Summer,1895.7
34.5,68.3,30.7,5.1,786.4,23.5,8.07,Clay,Cotton,Flowering,6.63,6,Summer,2000.0
40.5,37.7,61.3,16.4,663.2,29.3,8.29,Loam,Wheat,Germination,5.23,4,Spring,615.1
34.7,41.5,71.0,3.8,702.0,7.2,7.82,Clay,Cotton,Germination,9.14,4,Autumn,742.6
32.0,63.0,23.5,3.7,351.7,25.9,8.32,Sandy,Cotton,Maturity,7.09,4,Spring,1619.5
17.8,82.9,16.8,9.8,327.4,18.7,6.41,Clay,Rice,Vegetative,4.13,8,Winter,367.7
26.0,76.7,72.8,24.3,461.9,24.5,8.08,Sandy,Soybean,Flowering,2.77,14,Spring,294.4
23.0,60.8,34.5,39.2,132.0,19.5,6.97,Loam,Wheat,Vegetative,1.18,3,Winter,50.0
22.3,71.1,48.6,24.3,761.8,12.7,5.99,Clay,Wheat,Maturity,2.07,5,Autumn,50.0
44.2,45.5,35.2,16.8,200.6,6.8,7.51,Silt,Soybean,Maturity,9.93,5,Summer,2000.0
26.8,64.9,18.8,4.1,732.1,2.1,7.55,Silt,Rice,Germination,4.36,12,Winter,461.5
41.8,52.6,51.3,27.5,158.5,16.1,6.36,Sandy,Cotton,Germination,9.04,6,Winter,716.4
33.9,33.3,46.8,13.6,675.8,29.7,5.58,Sandy,Soybean,Flowering,2.12,1,Spring,879.5
38.8,69.1,24.2,30.7,206.4,22.1,6.1,Loam,Wheat,Maturity,4.54,5,Spring,564.5
30.1,59.0,41.6,48.9,126.7,9.8,6.7,Clay,Wheat,Maturity,9.62,12,Summer,1364.6
32.3,45.1,65.8,5.6,603.6,24.8,6.0,Sandy,Cotton,Flowering,1.37,8,Autumn,399.2
29.8,83.8,51.3,10.6,296.2,23.1,6.08,Sandy,Cotton,Vegetative,6.14,2,Winter,730.9
20.9,21.5,16.8,23.7,600.1,8.4,6.67,Loam,Maize,Germination,9.23,1,Summer,1874.8
36.7,42.1,48.4,48.4,488.6,0.4,8.39,Clay,Soybean,Maturity,9.52,12,Winter,645.0
23.4,24.0,59.2,38.6,176.2,3.5,7.79,Clay,Cotton,Maturity,8.54,7,Summer,1252.8
15.7,73.7,65.5,44.9,752.5,26.3,6.46,Sandy,Maize,Vegetative,8.63,0,Spring,1696.2
34.4,69.1,54.0,16.7,416.6,25.1,8.35,Clay,Rice,Vegetative,6.7,10,Spring,1684.6
20.3,43.2,20.7,49.6,614.1,8.9,7.44,Clay,Wheat,Vegetative,2.59,7,Autumn,50.0
43.2,67.3,59.7,5.1,450.7,8.6,6.87,Clay,Soybean,Germination,7.44,4,Spring,817.8
43.6,47.7,57.4,2.6,523.1,23.8,6.9,Silt,Rice,Flowering,9.79,8,Summer,2000.0
42.4,72.9,11.7,42.8,311.9,28.1,6.73,Clay,Soybean,Maturity,5.5,8,Winter,396.6
26.1,51.8,38.8,46.4,240.3,23.4,6.2,Silt,Soybean,Germination,2.98,3,Summer,107.8
